id,image_filename,image_source_url,image_original_url,image_author,image_date,image_institution,image_license,image_license_url,image_credit,image_rights_verified,notes
03-12-france-1832-la-sylphide,03-12-france-1832-la-sylphide.jpg,https://commons.wikimedia.org/wiki/File:Marie_Taglioni%2C_r%C3%B4le_de_la_Sylphide_-_btv1b84266543.jpg,https://upload.wikimedia.org/wikipedia/commons/4/47/Marie_Taglioni%2C_r%C3%B4le_de_la_Sylphide_-_btv1b84266543.jpg,Auteur non indiqué dans la notice Commons,entre 1830 et 1850,"Bibliothèque nationale de France, département Musique",Domaine public / CC0 indiqué dans les données structurées Commons,https://creativecommons.org/publicdomain/zero/1.0/,Marie Taglioni dans le rôle de la Sylphide — Bibliothèque nationale de France — domaine public,true,
03-12-europe-1365-university-vienna,03-12-europe-1365-university-vienna.jpg,https://commons.wikimedia.org/wiki/File:14th-century_unknown_painters_-_Portrait_of_Duke_Rudolf_IV_of_Austria_-_WGA23515.jpg,https://upload.wikimedia.org/wikipedia/commons/3/30/14th-century_unknown_painters_-_Portrait_of_Duke_Rudolf_IV_of_Austria_-_WGA23515.jpg,Maître bohémien anonyme,vers 1360-1365,Dom Museum Wien,Domaine public (Public Domain Mark),https://creativecommons.org/publicdomain/mark/1.0/,"Portrait de Rodolphe IV d’Autriche, maître bohémien anonyme, vers 1360-1365 — Dom Museum Wien — domaine public",true,
03-12-world-1930-salt-march,03-12-world-1930-salt-march.jpg,https://commons.wikimedia.org/wiki/File:Gandhi_Salt_March.jpg,https://upload.wikimedia.org/wikipedia/commons/7/76/Gandhi_Salt_March.jpg,Auteur inconnu,1930,Non indiquée,Domaine public en Inde et aux États-Unis selon la notice Commons,https://commons.wikimedia.org/wiki/File:Gandhi_Salt_March.jpg,"Gandhi pendant la Marche du sel, auteur inconnu, 1930 — domaine public selon la notice Wikimedia Commons",true,
08-08-france-1788-etats-generaux,08-08-france-1788-etats-generaux.jpg,https://commons.wikimedia.org/wiki/File:Louis_XVI_of_France.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Louis%20XVI%20of%20France.jpg,Joseph-Siffred Duplessis (1725-1802),,Château de Versailles (MV 3966),Domaine public,,"Portrait de Louis XVI, via Wikimedia Commons.",true,
08-08-europe-1963-great-train-robbery,08-08-europe-1963-great-train-robbery.svg,https://commons.wikimedia.org/wiki/File:Great_train_robbery_map.svg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Great%20train%20robbery%20map.svg,Cmglee et contributeurs OpenStreetMap,,Données OpenStreetMap,CC BY-SA (2.0/2.5/3.0/4.0) / GFDL 1.2+,,"Carte des lieux associés au Great Train Robbery, Wikimedia Commons.",true,
08-08-world-1945-ussr-war-japan,08-08-world-1945-ussr-war-japan.svg,https://commons.wikimedia.org/wiki/File:Manchuria_Operation_map.svg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Manchuria%20Operation%20map.svg,"Tazadeperla, d'après les cartes de David Glantz",,,CC BY-SA 3.0 / GFDL 1.2+,,"Carte de l’offensive soviétique en Mandchourie, Wikimedia Commons.",true,
08-09-france-1830-louis-philippe,08-09-france-1830-louis-philippe.jpg,https://commons.wikimedia.org/wiki/File:Louis-Philippe_de_Bourbon.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Louis-Philippe%20de%20Bourbon.jpg,Franz Xaver Winterhalter (1805-1873),,Musée du Louvre (RF 1975-26) / Château de Versailles (MV 8563),Domaine public,,"Portrait de Louis-Philippe Ier, Wikimedia Commons.",true,
08-09-europe-1173-pise,08-09-europe-1173-pise.jpg,"https://commons.wikimedia.org/wiki/File:Duomo_and_Leaning_Tower,_Pisa,_June_2013.JPG","https://commons.wikimedia.org/wiki/Special:Redirect/file/Duomo%20and%20Leaning%20Tower,%20Pisa,%20June%202013.JPG",Ardfern,,,CC BY-SA 3.0 / GFDL 1.2+,,"Duomo et tour de Pise, photographie (Ardfern, juin 2013), Wikimedia Commons.",true,
08-09-world-1945-nagasaki,08-09-world-1945-nagasaki.jpg,https://commons.wikimedia.org/wiki/File:Nagasaki_mushroom_cloud.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Nagasaki%20mushroom%20cloud.jpg,Auteur inconnu (armée américaine),,,Domaine public (travail d'un soldat/employé de l'armée américaine),,"Nuage atomique au-dessus de Nagasaki, domaine public, Wikimedia Commons.",true,
08-10-france-1792-tuileries,08-10-france-1792-tuileries.jpg,https://commons.wikimedia.org/wiki/File:Jacques_Bertaux_-_Prise_du_palais_des_Tuileries_-_1793.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Jacques%20Bertaux%20-%20Prise%20du%20palais%20des%20Tuileries%20-%201793.jpg,Jacques Bertaux (1741-1813),,Château de Versailles (MV 5182) / Louvre (INV 2521),Domaine public,,"Prise du palais des Tuileries, peinture de Jacques Bertaux (1793), Château de Versailles — domaine public.",true,
